UMAP_1,UMAP_2,Outlier_Level
7.6733847,7.6729727,0
8.54647,8.314727,0
10.674624,4.122544,0
11.304064,3.057375,0
12.381041,1.5837631,0
13.126465,8.902235,0
13.268223,8.870422,0
12.990424,8.921002,0
12.97219,8.941797,0
9.139488,6.111108,0
8.235601,7.7460914,0
9.595139,-3.3076124,0
7.1973414,2.606093,0
12.34586,2.612155,0
10.884866,-1.6715982,0
11.660641,6.085827,0
4.9223027,3.8631809,0
8.800257,0.64350706,0
8.950943,-8.884334,0
10.685916,10.821169,0
15.899234,12.1327715,0
4.83977,3.4347234,0
10.82058,8.200036,0
10.430395,9.464916,0
11.117878,1.5635238,0
12.234555,1.1520215,0
9.65789,12.755806,0
11.88368,7.3329463,0
8.806239,1.8420026,0
15.512317,13.3250065,0
5.7027917,-2.4428551,0
9.984862,0.5092001,0
10.449141,11.807152,0
13.154554,7.5231986,0
6.1119514,-3.5814443,0
10.130626,12.939204,0
10.23558,3.6732118,0
10.313729,8.019647,0
9.955266,7.7567077,0
8.681392,6.05845,0
10.086581,12.0227995,0
9.854909,12.427386,0
10.723992,10.852475,0
9.015974,8.258316,0
10.593422,11.336511,0
11.277966,10.937898,0
10.735201,-1.9663414,0
10.659738,10.789339,0
10.118596,12.320227,0
8.8006735,2.0015256,0
11.760748,4.7761774,0
12.81231,8.257925,0
10.437119,9.4885845,1
12.777266,11.587576,0
12.796519,11.541362,0
12.711373,11.687336,0
12.709946,11.69105,0
10.819959,10.784688,0
12.644954,7.9124413,0
10.908496,-1.8174043,0
10.246699,12.800799,0
10.281508,11.577044,0
9.940574,12.169859,0
8.891973,7.7418003,0
9.982372,12.135233,0
9.910283,12.188475,0
13.083248,1.8164443,0
9.177391,7.6544228,0
9.986266,12.13695,0
12.746769,2.796431,0
5.973624,0.2780583,0
7.6371913,3.3223963,0
16.069359,12.583881,0
6.1824055,4.814538,0
10.180201,7.900418,0
6.458619,3.636517,0
11.843247,12.252626,0
12.265127,-0.19676594,0
5.489813,3.6867301,0
8.045998,5.8864155,0
13.47631,5.809959,0
13.180698,8.693092,0
15.023371,12.647839,0
12.365991,0.18898556,0
12.410231,0.20361504,0
7.5035076,1.3312975,0
12.450205,11.966649,0
9.91597,4.1728945,0
10.252979,3.1775565,0
11.011079,2.8400602,0
15.251044,12.227009,0
12.301987,11.980489,0
8.849022,-3.1806977,0
5.5940943,-5.07716,0
8.305575,-0.059058312,0
6.039246,4.6495657,0
10.088451,0.13647115,0
6.3641605,2.3085992,0
14.235468,5.59361,0
15.141622,12.677693,0
13.13707,1.5594604,0
7.0580697,3.8467,0
6.362952,4.3275967,0
16.000006,14.630579,0
16.14384,14.034429,0
9.670349,-0.82930756,0
15.760605,12.806784,0
6.2839856,4.43467,0
12.750265,11.720098,0
12.621982,11.708603,0
12.61154,6.4033976,0
14.351288,1.8681244,0
14.792369,13.744628,0
10.630837,3.3333983,0
10.177363,0.49017596,0
16.342571,14.050038,0
12.282921,0.44044787,0
12.841334,2.5332923,0
14.382946,0.028223056,0
5.896245,-3.8142521,0
10.481584,5.800814,0
9.120029,-3.860865,0
13.614444,6.244045,0
13.206825,6.2071466,0
9.088596,3.7790747,0
12.309474,11.966071,0
10.968948,4.5975537,0
16.027523,12.645006,0
4.884894,3.9108956,0
3.4265187,-2.9955497,1
14.639253,0.70893055,0
6.738395,3.9287198,0
11.009935,3.1925359,0
7.7196827,5.6540103,0
6.2558956,4.8371177,0
5.036029,6.155589,0
10.106285,-0.34655187,0
11.574615,11.849514,0
10.3792925,3.244592,0
10.136809,6.3517995,0
15.845891,12.739034,0
5.1604366,-0.9988292,0
10.95196,0.15274902,0
10.333003,3.223221,0
6.9292355,3.914133,0
15.802868,14.371237,0
13.578468,6.557203,0
15.258934,12.179487,0
